seq	trim_left	trim_right	primer_type
S-11658_oECA306_H09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	10	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11692_oECA306_F11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	10	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11709_oECA306_B12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11659_oECA306_A10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	5	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11183_oECA306_G03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11694_oECA306_G11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	14	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11655_oECA306_F09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	8	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11664_oECA306_E10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	13	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11667_oECA306_H10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	28	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11035_oECA306_D01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11638_oECA306_A08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	10	13	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11191_oECA306_H03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11182_oECA306_F03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	10	14	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11256_oECA306_A06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	66	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11645_oECA306_G08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11708_oECA306_A12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	9	12	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11675_oECA306_A11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	4	16	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11072_oECA306_F01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11192_oECA306_A04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	17	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11232_oECA306_B05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11710_oECA306_C12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	9	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11642_oECA306_D08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	6	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11647_oECA306_H08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	19	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11663_oECA306_D10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	3	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11258_oECA306_C06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11234_oECA306_C05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	17	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11148_oECA306_A03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11683_oECA306_C11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11711_oECA306_D12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	7	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11235_oECA306_D05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11259_oECA306_D06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	9	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11310_oECA306_E07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11313_oECA306_H07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11230_oECA306_H04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11705_oECA306_H11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11653_oECA306_D09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11016_oECA306_C01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11643_oECA306_E08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	5	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11311_oECA306_F07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	13	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11228_oECA306_G04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11212_oECA306_C04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	19	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11074_oECA306_H01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11128_oECA306_D02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	5	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11719_oECA306_H12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	9	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11715_oECA306_G12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11312_oECA306_G07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	6	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11213_oECA306_D04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	11	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11690_oECA306_E11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11260_oECA306_E06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11015_oECA306_B01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11641_oECA306_C08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	8	9	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11231_oECA306_A05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	21	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11288_oECA306_B07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11176_oECA306_B03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11640_oECA306_B08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	19	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11712_oECA306_E12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	1	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11145_oECA306_G02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11037_oECA306_E01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11129_oECA306_E02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	3	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11650_oECA306_C09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	5	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11298_oECA306_C07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11714_oECA306_F12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	8	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11657_oECA306_G09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	12	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11677_oECA306_B11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	21	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11660_oECA306_B10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	13	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
