seq	trim_left	trim_right	primer_type
S-11658_oECA306_H09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	10	78	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11692_oECA306_F11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	56	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11709_oECA306_B12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	73	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11659_oECA306_A10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	31	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11183_oECA306_G03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	47	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11694_oECA306_G11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	105	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11655_oECA306_F09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	8	4	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11664_oECA306_E10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	16	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11667_oECA306_H10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	40	9	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11035_oECA306_D01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	15	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11638_oECA306_A08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	193	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11191_oECA306_H03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	19	18	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11182_oECA306_F03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	58	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11256_oECA306_A06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	19	89	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11645_oECA306_G08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	77	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11708_oECA306_A12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	15	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11675_oECA306_A11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	28	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11072_oECA306_F01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	10	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11192_oECA306_A04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	19	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11232_oECA306_B05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	146	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11710_oECA306_C12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11642_oECA306_D08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	6	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11647_oECA306_H08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	16	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11663_oECA306_D10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	35	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11258_oECA306_C06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	17	1	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11234_oECA306_C05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	93	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11148_oECA306_A03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	21	15	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11683_oECA306_C11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	28	18	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11711_oECA306_D12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	10	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11235_oECA306_D05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	21	22	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11259_oECA306_D06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	84	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11310_oECA306_E07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	24	101	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11313_oECA306_H07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	19	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11230_oECA306_H04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	18	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11705_oECA306_H11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	10	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11653_oECA306_D09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	27	9	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11016_oECA306_C01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	71	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11643_oECA306_E08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	7	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11311_oECA306_F07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	44	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11228_oECA306_G04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	24	37	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11212_oECA306_C04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	35	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11074_oECA306_H01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	26	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
