seq	trim_left	trim_right	primer_type
S-11658_oECA306_H09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	22	262	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11692_oECA306_F11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	263	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11709_oECA306_B12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	186	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11659_oECA306_A10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	29	224	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11183_oECA306_G03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	237	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11694_oECA306_G11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	241	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11655_oECA306_F09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	8	143	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11664_oECA306_E10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	58	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11667_oECA306_H10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	40	22	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11035_oECA306_D01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	81	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11638_oECA306_A08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	228	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11191_oECA306_H03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	295	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11182_oECA306_F03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	22	291	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11256_oECA306_A06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	212	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11645_oECA306_G08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	293	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11708_oECA306_A12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	93	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11675_oECA306_A11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	178	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11072_oECA306_F01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	19	121	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11192_oECA306_A04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	284	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11232_oECA306_B05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	18	301	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11710_oECA306_C12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	117	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11642_oECA306_D08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	317	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11647_oECA306_H08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	42	277	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11663_oECA306_D10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	23	89	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11258_oECA306_C06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	212	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11234_oECA306_C05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	225	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11148_oECA306_A03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	22	115	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11683_oECA306_C11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	28	136	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11711_oECA306_D12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	10	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11235_oECA306_D05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	208	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11259_oECA306_D06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	29	267	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11310_oECA306_E07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	24	257	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11313_oECA306_H07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	95	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11230_oECA306_H04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	30	310	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11705_oECA306_H11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	34	174	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11653_oECA306_D09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	35	21	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11016_oECA306_C01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	21	131	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11643_oECA306_E08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	27	57	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11311_oECA306_F07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	216	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11228_oECA306_G04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	165	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11212_oECA306_C04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	30	263	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11074_oECA306_H01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	27	51	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11128_oECA306_D02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	27	212	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11719_oECA306_H12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	26	50	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11715_oECA306_G12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	99	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11312_oECA306_G07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	36	74	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11213_oECA306_D04_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	16	12	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11690_oECA306_E11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	28	239	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11260_oECA306_E06_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	20	209	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11015_oECA306_B01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	33	66	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11641_oECA306_C08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	110	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11231_oECA306_A05_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	41	2	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11288_oECA306_B07_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	29	179	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11176_oECA306_B03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	29	181	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11640_oECA306_B08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	32	194	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11712_oECA306_E12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	29	101	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11145_oECA306_G02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	25	59	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11037_oECA306_E01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	15	83	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11129_oECA306_E02_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	14	78	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
