seq	trim_left	trim_right	primer_type
S-11658_oECA306_H09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11692_oECA306_F11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11709_oECA306_B12_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11659_oECA306_A10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11183_oECA306_G03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11694_oECA306_G11_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11655_oECA306_F09_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11664_oECA306_E10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11667_oECA306_H10_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11035_oECA306_D01_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11638_oECA306_A08_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
S-11191_oECA306_H03_robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D	0	0	robyn.tanny@northwestern.edu_03_SEQ1679327A_010320D
