fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,s_label
c241293a-c62d-417a-83ed-a51e6b5f87b5,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,42.056516,-87.6736731,POINT (-87.6736731 42.056516),2019-12-11 18:49:45 UTC,2019-12-11 18:49:59 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10667
04f69696-5ad2-4597-97c0-97792d3f5613,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,42.0565115,-87.6736691,POINT (-87.6736691 42.0565115),2019-12-11 18:50:00 UTC,2019-12-11 18:50:12 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10668
ff775851-5ce2-4433-a1ab-1df1d1b130fe,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,42.0565091,-87.6736844,POINT (-87.6736844 42.0565091),2019-12-11 18:50:14 UTC,2019-12-11 18:50:23 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10664
8496f5c0-539d-48d7-aa0b-4a68071708f6,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,,,,2019-12-11 18:50:26 UTC,2019-12-11 18:50:34 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10661
46b45062-07a4-4d64-bfa1-f9af8796b9ae,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,,,,2019-12-11 18:50:36 UTC,2019-12-11 18:50:44 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10673
3d8a3f9f-d7d9-4643-b4b7-67f0df4b3ec2,6ab2c466-a63d-42a3-89ec-32e7470280ef,6ab2c466-a63d-42a3-89ec-32e7470280ef,1,1,,,,2019-12-11 18:50:46 UTC,2019-12-11 18:50:54 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10739
f08221d5-fa3d-4e34-ad9e-d20820f7bb45,6f1bb87b-2241-4963-92da-6d731c6400c7,6f1bb87b-2241-4963-92da-6d731c6400c7,1,1,42.056512,-87.6736861,POINT (-87.6736861 42.056512),2019-12-11 18:57:27 UTC,2019-12-11 18:57:36 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10645
3c648def-ee37-4ddd-919b-eff5d1d66837,6f1bb87b-2241-4963-92da-6d731c6400c7,6f1bb87b-2241-4963-92da-6d731c6400c7,1,1,42.0565113,-87.6736842,POINT (-87.6736842 42.0565113),2019-12-11 18:57:38 UTC,2019-12-11 18:57:46 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10648
e79d0d4b-18f1-4432-8e59-63ca3a545048,6f1bb87b-2241-4963-92da-6d731c6400c7,6f1bb87b-2241-4963-92da-6d731c6400c7,1,1,42.0565091,-87.6736873,POINT (-87.6736873 42.0565091),2019-12-11 18:57:48 UTC,2019-12-11 18:57:59 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10646
8ea44d35-7e89-4378-b925-af1a81602313,6f1bb87b-2241-4963-92da-6d731c6400c7,6f1bb87b-2241-4963-92da-6d731c6400c7,1,1,,,,2019-12-11 18:58:00 UTC,2019-12-11 18:58:07 UTC,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-10647
